Phase,x,y,Ux,Uy,Utot,PUx,PUy,PUtot,N,Q,M,pilenumber,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC11,UC12,UC13,UC14,UC_governing
4,1.2375,-1.50378768605448,-0.231938747951146,-0.187953311608175,0.298533130733634,-9.30340229388094e-06,-9.92303903331049e-05,9.96655590457513e-05,0.0240193245745541,0.0001774858380844,-0.0005809401314898,2.0,0.0,0.0,6.761404770747753e-05,0.0,0.0,5.72368293510355e-05,5.72368293510355e-05,5.72368293510355e-05,3.497340285516385e-06,0.0,0.0,0.0,5.7241401010482886e-05,5.7241401010482886e-05,6.761404770747753e-05
4,1.2375,-1.5416742739438,-0.232977011187025,-0.18693316256013,0.298701012730742,-9.219560524798e-06,-9.92327477433719e-05,9.96601149957699e-05,0.0190226772883569,0.0003681009342115,-0.0005705634316386,2.0,0.0,0.0,5.3548558607743025e-05,0.0,0.0,5.621447030504063e-05,5.621447030504063e-05,5.621447030504063e-05,7.253391257852975e-06,0.0,0.0,0.0,5.62173377531696e-05,5.62173377531696e-05,5.62173377531696e-05
4,1.2375,-1.57956086183313,-0.233989635504115,-0.185917359451804,0.298858518481371,-9.13472376851132e-06,-9.92345594568178e-05,9.96541066334735e-05,0.0140225045611413,0.0005441663473043,-0.0005532286200867,2.0,0.0,0.0,3.947314544305541e-05,0.0,0.0,5.450656686224691e-05,5.450656686224691e-05,5.450656686224691e-05,1.0722742214196434e-05,0.0,0.0,0.0,5.450812499145808e-05,5.450812499145808e-05,5.450812499145808e-05
4,1.2375,-1.61744744972245,-0.234978317744904,-0.184907197549109,0.29900749407948,-9.04892385733547e-06,-9.9235818197485e-05,9.96475320130918e-05,0.0090223318338931,0.0007053318125467,-0.0005295087581732,2.0,0.0,0.0,2.5397732278276026e-05,0.0,0.0,5.216957959801457e-05,5.216957959801457e-05,5.216957959801457e-05,1.3898491222171947e-05,0.0,0.0,0.0,5.2170224642819446e-05,5.2170224642819446e-05,5.2170224642819446e-05
4,1.2375,-1.65533403761178,-0.235940952229144,-0.183901342262508,0.299145176502559,-8.96220444701612e-06,-9.92365385172888e-05,9.96404119092423e-05,0.0040256845475984,0.0008512470651226,-0.0004999788617668,2.0,0.0,0.0,1.1332243178267068e-05,0.0,0.0,4.926016165673304e-05,4.926016165673304e-05,4.926016165673304e-05,1.6773736349404706e-05,0.0,0.0,0.0,4.9260290076468494e-05,4.9260290076468494e-05,4.9260290076468494e-05
4,1.2375,-1.65533403761178,-0.235940952229144,-0.183901342262508,0.299145176502559,-8.96220444701612e-06,-9.92365385172888e-05,9.96404119092423e-05,0.0040230806837285,0.0008517441345372,-0.0004999788617662,2.0,0.0,0.0,1.1324913339520907e-05,0.0,0.0,4.926016165667392e-05,4.926016165667392e-05,4.926016165667392e-05,1.678353105137722e-05,0.0,0.0,0.0,4.9260289910336066e-05,4.9260289910336066e-05,4.9260289910336066e-05
4,1.2375,-1.69865677820883,-0.237011770196592,-0.182764922218672,0.299295165355739,-8.86198540683836e-06,-9.92366840364412e-05,9.96315925994334e-05,-0.0016905099638002,0.0009940971492951,-0.0004599275939749,2.0,0.0,0.0,4.758760846399643e-06,0.0,0.0,4.531413098052755e-05,4.531413098052755e-05,4.531413098052755e-05,1.9588582646765727e-05,0.0,0.0,0.0,4.5314153626332345e-05,4.5314153626332345e-05,4.5314153626332345e-05
4,1.2375,-1.74197951880589,-0.238050638159853,-0.181634057247861,0.299431189224891,-8.76072772371117e-06,-9.92361092357896e-05,9.96220644561564e-05,-0.0074081318996788,0.0011143970528684,-0.0004141603087102,2.0,0.0,0.0,2.0853783050120058e-05,0.0,0.0,4.0804932606096106e-05,4.0804932606096106e-05,4.0804932606096106e-05,2.195907994193904e-05,0.0,0.0,0.0,4.0805367486363605e-05,4.0805367486363605e-05,4.0805367486363605e-05
4,1.2375,-1.78530225940294,-0.239057719901025,-0.180510398447289,0.299553997456011,-8.65853962750407e-06,-9.92348286672495e-05,9.96118543603091e-05,-0.0131257538356133,0.0012121678579168,-0.0003636729755849,2.0,0.0,0.0,3.6948805253997826e-05,0.0,0.0,3.5830693930122634e-05,3.5830693930122634e-05,3.5830693930122634e-05,2.388564365504237e-05,0.0,0.0,0.0,3.5832059144332334e-05,3.5832059144332334e-05,3.6948805253997826e-05
4,1.2375,-1.828625,-0.240031891568859,-0.179392237501268,0.299661281859762,-8.55553480505478e-06,-9.9232820502948e-05,9.96009530113583e-05,-0.0188393444833098,0.0012869335771001,-0.0003094663037776,2.0,0.0,0.0,5.303247944039073e-05,0.0,0.0,3.049000931264671e-05,3.049000931264671e-05,3.049000931264671e-05,2.53588945042229e-05,0.0,0.0,0.0,3.0492821756522308e-05,3.0492821756522308e-05,5.303247944039073e-05
