,x,y,Ux,Uy,N,Q,M,pile_number,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC11,UC12,UC13,UC14,UC_governing
220,1.2375,-10.9230769230769,-0.006899814565947,-0.0586823635416526,-21.3756276025804,-0.627597916702111,-0.479554067885824,2.0,0.0,0.0,0.045498736756914224,0.0,0.0,0.031066208127060898,0.031066208127060898,0.031066208127060898,0.009351041781079235,0.0,0.0,0.0,0.03313634317353588,0.03313634317353588,0.045498736756914224
221,1.2375,-11.0576923076923,-0.0068461412088048,-0.0581918712066074,-21.4033676964317,-0.638918736897618,-0.564841310906763,2.0,0.0,0.0,0.045557782472493605,0.0,0.0,0.03659123944199188,0.03659123944199188,0.03659123944199188,0.009519718986383789,0.0,0.0,0.0,0.038666750985802925,0.038666750985802925,0.045557782472493605
222,1.2375,-11.1923076923077,-0.0067871413772378,-0.0577204938623768,-21.4311273628596,-0.643445346565159,-0.651276242917846,2.0,0.0,0.0,0.04561686984895548,0.0,0.0,0.04219061971446613,0.04219061971446613,0.04219061971446613,0.009587164264644493,0.0,0.0,0.0,0.044271518529282676,0.044271518529282676,0.04561686984895548
223,1.2375,-11.3269230769231,-0.0067215801933252,-0.0572738581581714,-21.4588870292875,-0.639845212684367,-0.737752167250976,2.0,0.0,0.0,0.04567595722541737,0.0,0.0,0.04779265552902334,0.04779265552902334,0.04779265552902334,0.009533523228814313,0.0,0.0,0.0,0.0498789485974815,0.0498789485974815,0.0498789485974815
224,1.2375,-11.4615384615385,-0.006647894541526,-0.056846057085754,-21.4866271231386,-0.626785802234876,-0.823107734739558,2.0,0.0,0.0,0.04573500294099631,0.0,0.0,0.05332211300207518,0.05332211300207518,0.05332211300207518,0.00933894149184622,0.0,0.0,0.0,0.05541380349608812,0.05541380349608812,0.05541380349608812
225,1.2375,-11.4615384615385,-0.006647894541526,-0.056846057085754,-21.4866406122763,-0.61385533653172,-0.823107734739558,2.0,0.0,0.0,0.0457350316530761,0.0,0.0,0.05332211300207518,0.05332211300207518,0.05332211300207518,0.009146280997250579,0.0,0.0,0.0,0.05541380612238305,0.05541380612238305,0.05541380612238305
226,1.2375,-11.5961538461539,-0.0065642881813288,-0.056467203921496,-21.5143807061275,-0.572166677149697,-0.903615073661622,2.0,0.0,0.0,0.04579407736865525,0.0,0.0,0.05853749519606825,0.05853749519606825,0.05853749519606825,0.008525131077367222,0.0,0.0,0.0,0.06063459271811463,0.06063459271811463,0.06063459271811463
227,1.2375,-11.7307692307692,-0.0064695072410574,-0.0561068412351138,-21.5421403725554,-0.463114207697367,-0.974164033149067,2.0,0.0,0.0,0.045853164745117136,0.0,0.0,0.06310775912532006,0.06310775912532006,0.06310775912532006,0.006900278331620089,0.0,0.0,0.0,0.06521027184246292,0.06521027184246292,0.06521027184246292
228,1.2375,-11.8653846153846,-0.0063620832192745,-0.0557704505234612,-21.5699000389832,-0.281594931805211,-1.02507851746676,2.0,0.0,0.0,0.04591225212157881,0.0,0.0,0.06640607327260412,0.06640607327260412,0.06640607327260412,0.004195689473425286,0.0,0.0,0.0,0.06851400816747953,0.06851400816747953,0.06851400816747953
229,1.2375,-12.0,-0.0062406976292065,-0.0554523383157512,-21.5976401328342,-0.0225058531037068,-1.04646665956154,2.0,0.0,0.0,0.04597129783715753,0.0,0.0,0.06779162814172844,0.06779162814172844,0.06779162814172844,0.00033533121619886693,0.0,0.0,0.0,0.06990498836656109,0.06990498836656109,0.06990498836656109
